,west,east,south,north,central,national
2164,[58.76274490356445],[61.773197174072266],[62.71305465698242],[58.555381774902344],[62.82521438598633],[60.685848236083984]
2165,[58.76274490356445],[61.85792541503906],[62.7370491027832],[58.59425354003906],[62.886444091796875],[60.65827178955078]
2166,[58.76274490356445],[60.76927947998047],[62.863834381103516],[58.67121887207031],[62.961585998535156],[60.7713737487793]
2167,[58.76274490356445],[61.952327728271484],[62.863834381103516],[59.95536804199219],[62.961585998535156],[60.7713737487793]
2168,[59.85621643066406],[62.02372360229492],[64.02630615234375],[59.918190002441406],[64.0814208984375],[60.7713737487793]
2169,[59.83007049560547],[63.15781021118164],[62.8400993347168],[59.83214569091797],[62.92881774902344],[60.7713737487793]
2170,[59.795528411865234],[63.08924865722656],[63.997901916503906],[59.73656463623047],[64.03749084472656],[59.49715042114258]
2171,[59.76487731933594],[61.834712982177734],[62.71438980102539],[59.73656463623047],[62.84747314453125],[59.59644317626953]
2172,[58.62838363647461],[61.773197174072266],[62.83716583251953],[59.73656463623047],[62.903865814208984],[59.68172836303711]
2173,[58.68449783325195],[61.85792541503906],[61.59153366088867],[59.73656463623047],[61.709693908691406],[58.52177810668945]
2174,[57.580379486083984],[61.93703079223633],[61.73467254638672],[58.55537796020508],[61.84072494506836],[58.620540618896484]
2175,[57.6818962097168],[60.76927947998047],[61.75859832763672],[58.594261169433594],[61.902015686035156],[58.704925537109375]
2176,[57.72940444946289],[60.79227828979492],[60.73455047607422],[57.49971008300781],[60.81320571899414],[57.546146392822266]
2177,[58.8592643737793],[59.70814895629883],[60.75619888305664],[57.62397766113281],[60.856788635253906],[57.644386291503906]
2178,[59.900489807128906],[57.49137496948242],[59.63748550415039],[57.699588775634766],[59.74271011352539],[57.7278938293457]
2179,[59.85756301879883],[56.48917770385742],[59.77759552001953],[56.61225509643555],[59.873409271240234],[56.57024383544922]
2180,[59.795528411865234],[56.73512649536133],[59.801387786865234],[56.65449523925781],[59.93502426147461],[56.66801071166992]
2181,[58.62838363647461],[55.79445266723633],[59.923343658447266],[56.728843688964844],[60.01119613647461],[55.48324203491211]
2182,[58.68449783325195],[54.74368667602539],[58.77718734741211],[56.81745147705078],[58.847049713134766],[55.69143295288086]
2183,[57.580379486083984],[53.70164489746094],[58.79882049560547],[55.641761779785156],[58.890602111816406],[54.50751495361328]
2184,[57.6818962097168],[53.874176025390625],[58.82258605957031],[55.68583679199219],[58.95247268676758],[54.71467971801758]
2185,[56.57621383666992],[54.006649017333984],[57.798072814941406],[55.759010314941406],[57.864688873291016],[53.53158950805664]
2186,[56.68064498901367],[52.92680740356445],[57.81987380981445],[55.84636688232422],[57.90839385986328],[52.47128677368164]
2187,[55.57329177856445],[52.95937728881836],[57.84362030029297],[54.67203140258789],[57.97058868408203],[52.654720306396484]
2188,[55.680702209472656],[53.027381896972656],[57.962589263916016],[54.71800231933594],[58.04776382446289],[52.84018325805664]
2189,[54.57154846191406],[53.08803939819336],[56.81863784790039],[53.62309646606445],[56.88279342651367],[52.94588088989258]
2190,[54.68204116821289],[51.947330474853516],[56.8406982421875],[52.58598709106445],[56.926753997802734],[51.68769454956055]
2191,[54.730918884277344],[51.982337951660156],[55.725433349609375],[52.70555114746094],[55.81379318237305],[50.5197868347168]
2192,[53.61459732055664],[52.04865646362305],[54.725982666015625],[51.68830871582031],[54.758575439453125],[51.95724868774414]
2193,[53.68336486816406],[52.10765075683594],[53.63937759399414],[50.652854919433594],[53.686302185058594],[52.04349136352539]
2194,[53.732730865478516],[50.968048095703125],[53.7894401550293],[48.462013244628906],[53.9019660949707],[50.819271087646484]
2195,[52.6131477355957],[49.863101959228516],[53.92522430419922],[47.544593811035156],[54.049583435058594],[50.806724548339844]
2196,[52.685386657714844],[48.82865905761719],[54.03885269165039],[45.480125427246094],[54.12937545776367],[50.88456726074219]
2197,[52.7357063293457],[46.70787048339844],[52.89655685424805],[45.812503814697266],[52.95991134643555],[50.98857498168945]
2198,[52.772621154785156],[45.80375289916992],[52.92097473144531],[46.01791763305664],[51.81637191772461],[49.733787536621094]
2199,[51.61274337768555],[44.8763427734375],[51.805538177490234],[46.180416107177734],[51.943058013916016],[48.56797409057617]
2200,[50.507198333740234],[45.107486724853516],[51.94004821777344],[46.180416107177734],[52.09292221069336],[46.214630126953125]
2201,[44.44450759887695],[41.7429084777832],[49.697242736816406],[47.36597442626953],[49.795589447021484],[44.075599670410156]
2202,[41.53074645996094],[39.74760818481445],[47.60047149658203],[48.48390579223633],[47.46953201293945],[43.30368423461914]
2203,[39.960670471191406],[38.90568161010742],[47.679344177246094],[48.351131439208984],[46.55864334106445],[43.77451705932617]
2204,[40.6123161315918],[38.055850982666016],[46.78376770019531],[47.01464080810547],[45.75566482543945],[42.7942008972168]
2205,[39.59059524536133],[38.3162727355957],[48.17853546142578],[48.17927169799805],[43.63777542114258],[41.740779876708984]
2206,[39.801700592041016],[37.222042083740234],[49.318275451660156],[49.36091613769531],[42.73665237426758],[41.925228118896484]
2207,[38.63905334472656],[36.20173263549805],[49.36342239379883],[49.3177490234375],[41.840335845947266],[42.094486236572266]
2208,[38.81564712524414],[36.37697219848633],[50.37798309326172],[50.34263610839844],[42.17240524291992],[42.19202423095703]
2209,[37.64863204956055],[35.263797760009766],[51.388916015625],[51.381103515625],[41.125701904296875],[40.947532653808594]
2210,[37.82991409301758],[35.45476150512695],[51.333946228027344],[51.253204345703125],[41.28590774536133],[39.79384231567383]
2211,[36.65830993652344],[35.495445251464844],[52.34568786621094],[52.27457046508789],[40.146183013916016],[38.72153091430664]
2212,[35.60530471801758],[34.339149475097656],[52.211734771728516],[52.13225555419922],[40.30891036987305],[39.00911331176758]
2213,[37.05148696899414],[34.483646392822266],[52.184226989746094],[52.05766677856445],[39.16566848754883],[41.598548889160156]
2214,[36.996498107910156],[34.52265930175781],[52.07516098022461],[51.97188949584961],[39.330299377441406],[41.5494499206543]
2215,[34.498863220214844],[33.356929779052734],[52.07516098022461],[51.97188949584961],[38.183563232421875],[42.61703872680664]
2216,[33.53228759765625],[32.28218460083008],[52.07516098022461],[51.97188949584961],[40.73993682861328],[42.36006546020508]
2217,[33.8387336730957],[33.71786880493164],[52.07516098022461],[51.97188949584961],[41.866817474365234],[42.28980255126953]
2218,[35.17158889770508],[32.417816162109375],[52.07516098022461],[51.97188949584961],[39.3765983581543],[40.947532653808594]
2219,[35.06048583984375],[33.81156539916992],[52.07516098022461],[51.97188949584961],[36.7835807800293],[39.79384231567383]
2220,[35.00239181518555],[34.86540603637695],[52.07516098022461],[51.97188949584961],[37.023983001708984],[38.72153091430664]
2221,[36.18088912963867],[34.747413635253906],[52.07516098022461],[51.97188949584961],[38.55781555175781],[39.00911331176758]
2222,[37.24819564819336],[35.83016586303711],[52.07516098022461],[51.97188949584961],[41.02510452270508],[39.17377853393555]
2223,[39.42138671875],[36.84450149536133],[52.07516098022461],[51.97188949584961],[39.68717956542969],[40.48846435546875]
2224,[43.59047317504883],[38.99068069458008],[50.932098388671875],[50.799922943115234],[40.70981216430664],[41.611515045166016]
2225,[43.34050750732422],[38.74983596801758],[48.69548034667969],[48.530784606933594],[41.721160888671875],[41.4810905456543]
2226,[44.18899917602539],[38.567222595214844],[47.635498046875],[47.544593811035156],[42.86325454711914],[42.52771759033203]
2227,[45.093692779541016],[39.624794006347656],[47.79907989501953],[47.80693435668945],[43.82967758178711],[44.73691940307617]
2228,[44.974300384521484],[40.688106536865234],[46.88829803466797],[46.8569450378418],[43.6427116394043],[45.75431442260742]
2229,[46.03093719482422],[41.69549560546875],[45.87994384765625],[45.82319641113281],[44.653968811035156],[45.488037109375]
2230,[48.15943908691406],[42.65852355957031],[48.24688720703125],[45.95368194580078],[44.52726364135742],[46.43968200683594]
2231,[51.22513198852539],[43.62334442138672],[51.69364547729492],[44.9232292175293],[44.460933685302734],[45.03413772583008]
2232,[52.16197204589844],[43.47848892211914],[52.767818450927734],[45.06689453125],[44.37290954589844],[45.047481536865234]
2233,[53.05756759643555],[43.367149353027344],[53.636199951171875],[45.13285827636719],[44.37290954589844],[46.254112243652344]
2234,[52.89096450805664],[43.31693649291992],[53.30282974243164],[44.03364562988281],[43.175655364990234],[48.66413879394531]
2235,[52.81080627441406],[43.31693649291992],[53.167388916015625],[44.10096740722656],[44.42325973510742],[47.27812957763672]
2236,[52.772621154785156],[43.31693649291992],[53.05720520019531],[44.166107177734375],[45.59736251831055],[44.58705520629883]
2237,[52.772621154785156],[42.16386795043945],[53.05720520019531],[44.248836517333984],[44.41096496582031],[43.40481185913086]
2238,[53.89187240600586],[43.388790130615234],[54.20530700683594],[45.43981170654297],[46.61922073364258],[41.23698043823242]
2239,[52.71109390258789],[44.50614929199219],[53.03262710571289],[45.36665344238281],[45.36695098876953],[41.7562370300293]
2240,[52.7241325378418],[44.452274322509766],[53.031124114990234],[44.11347198486328],[42.94514083862305],[39.4760627746582]
2241,[52.7357063293457],[44.3408317565918],[52.94477081298828],[44.10096740722656],[41.75809860229492],[38.64613342285156]
2242,[52.772621154785156],[45.41975784301758],[53.05720520019531],[45.35579299926758],[45.58243179321289],[38.915283203125]
2243,[52.772621154785156],[46.49103927612305],[53.05720520019531],[45.36665344238281],[46.82451629638672],[40.400108337402344]
2244,[52.772621154785156],[47.50379943847656],[53.05720520019531],[44.11347198486328],[46.7269172668457],[40.40928268432617]
2245,[52.772621154785156],[46.2558708190918],[53.05720520019531],[42.91716003417969],[46.40792465209961],[40.33945083618164]
2246,[52.772621154785156],[46.182559967041016],[53.05720520019531],[43.052452087402344],[45.13163375854492],[41.46284866333008]
2247,[53.89187240600586],[47.319740295410156],[54.20531463623047],[45.58942794799805],[47.508636474609375],[42.58765411376953]
2248,[53.847591400146484],[48.440303802490234],[54.17776107788086],[46.712867736816406],[46.34286880493164],[43.653045654296875]
2249,[53.806278228759766],[49.45652770996094],[54.15020751953125],[46.506980895996094],[45.146488189697266],[43.43406295776367]
2250,[53.76897430419922],[48.21767807006836],[54.03885269165039],[46.26359558105469],[43.890621185302734],[43.26601028442383]
2251,[53.76897430419922],[48.1325798034668],[54.03885269165039],[46.180416107177734],[44.12501525878906],[40.661006927490234]
2252,[53.76897430419922],[46.99519348144531],[54.03885269165039],[46.180416107177734],[43.08335876464844],[39.616790771484375]
2253,[54.88338851928711],[47.10563278198242],[55.187408447265625],[45.00120544433594],[44.42325973510742],[39.88546371459961]
2254,[54.842681884765625],[47.1635627746582],[55.16033172607422],[45.06689453125],[42.035587310791016],[41.37372589111328]
2255,[54.80265426635742],[47.21624755859375],[55.132755279541016],[45.13285827636719],[42.18733596801758],[42.58765411376953]
2256,[54.76641845703125],[46.07487869262695],[55.020164489746094],[44.03364562988281],[42.24465560913086],[42.457210540771484]
2257,[54.76641845703125],[44.98518753051758],[55.020164489746094],[44.10096740722656],[43.600399017333984],[41.05084228515625]
2258,[54.76641845703125],[43.955509185791016],[55.020164489746094],[44.166107177734375],[44.71212387084961],[39.79384231567383]
2259,[54.76641845703125],[44.135902404785156],[55.020164489746094],[45.439815521240234],[45.760616302490234],[43.627864837646484]
2260,[55.87602615356445],[45.37604904174805],[56.16941833496094],[44.18314743041992],[44.41096496582031],[44.74326705932617]
2261,[54.711666107177734],[45.37754440307617],[54.99668884277344],[45.37498474121094],[40.62257385253906],[44.60696792602539]
2262,[54.718994140625],[43.01945495605469],[54.99407196044922],[45.28197479248047],[39.62424087524414],[44.242828369140625]
2263,[54.730918884277344],[44.26605224609375],[54.90528106689453],[45.29835510253906],[44.69330978393555],[44.143863677978516]
2264,[54.76641845703125],[43.14311599731445],[55.020164489746094],[45.21504211425781],[45.9882926940918],[45.36880111694336]
2265,[54.76641845703125],[40.94676208496094],[55.020164489746094],[44.03364562988281],[42.27303695678711],[44.05720138549805]
2266,[53.61459732055664],[38.798484802246094],[53.87783432006836],[42.91716003417969],[40.78792953491211],[44.07128143310547]
2267,[53.68336486816406],[37.97629165649414],[53.901451110839844],[45.44548797607422],[41.015750885009766],[45.27656936645508]
2268,[53.732730865478516],[35.889183044433594],[53.92522430419922],[45.43499755859375],[43.699161529541016],[45.291385650634766]
2269,[53.76897430419922],[35.10044479370117],[54.03885269165039],[46.57404708862305],[47.013580322265625],[43.97835159301758]
2270,[52.61314392089844],[34.148563385009766],[52.89656066894531],[47.519554138183594],[44.61969757080078],[45.211307525634766]
2271,[53.823760986328125],[34.435340881347656],[54.0677490234375],[46.2022590637207],[45.49885940551758],[46.41029357910156]
2272,[54.91685485839844],[34.52265930175781],[55.214149475097656],[48.490516662597656],[45.327266693115234],[48.74419403076172]
2273,[55.95669937133789],[35.77910232543945],[56.4113883972168],[50.7086181640625],[47.70755386352539],[48.49513626098633]
2274,[56.94553756713867],[39.11849594116211],[57.396217346191406],[51.73411178588867],[47.58707046508789],[49.47530746459961]
2275,[56.866600036621094],[38.88111877441406],[57.237693786621094],[52.53242111206055],[47.466487884521484],[51.619407653808594]
2276,[55.661529541015625],[37.45138931274414],[55.9520263671875],[52.22236633300781],[46.10948944091797],[50.21575164794922]
2277,[53.30781173706055],[35.0006217956543],[53.60810089111328],[52.05766677856445],[47.3387451171875],[48.782901763916016]
2278,[52.3561897277832],[35.334041595458984],[52.54297637939453],[51.97188949584961],[47.360713958740234],[47.4864387512207]
2279,[51.41935729980469],[36.643089294433594],[51.57692337036133],[51.97188949584961],[48.527244567871094],[46.51115798950195]
2280,[51.65109634399414],[38.948665618896484],[52.97491455078125],[53.153160095214844],[49.54740524291992],[50.48344039916992]
2281,[51.73978805541992],[42.039398193359375],[53.08311080932617],[53.101539611816406],[51.66061782836914],[51.62078857421875]
2282,[52.90144729614258],[44.93466567993164],[53.167388916015625],[53.02577209472656],[51.54487228393555],[47.73849868774414]
2283,[52.85349655151367],[44.76200866699219],[54.20531463623047],[54.12110900878906],[51.35934829711914],[51.35633850097656]
2284,[53.920501708984375],[45.537967681884766],[54.17776107788086],[54.0718994140625],[52.33563995361328],[51.210636138916016]
2285,[53.847591400146484],[46.49103927612305],[54.15020751953125],[53.994911193847656],[52.31222152709961],[52.520084381103516]
2286,[53.806278228759766],[46.4039192199707],[54.03885269165039],[53.907203674316406],[51.089420318603516],[52.14714431762695]
2287,[53.76897430419922],[46.2910270690918],[54.03885269165039],[53.907203674316406],[51.04933547973633],[53.30884552001953]
2288,[54.88338851928711],[48.46101760864258],[55.187408447265625],[55.09031677246094],[52.262351989746094],[53.127445220947266]
2289,[54.842681884765625],[48.42885208129883],[55.16033172607422],[55.043426513671875],[52.31222152709961],[54.291446685791016]
2290,[54.80265426635742],[49.3968505859375],[55.132755279541016],[54.96509552001953],[52.25456237792969],[52.856712341308594]
2291,[54.76641845703125],[49.2896728515625],[55.020164489746094],[54.876277923583984],[52.17426681518555],[52.86737823486328]
2292,[54.76641845703125],[50.33502197265625],[55.020164489746094],[54.876277923583984],[51.00107955932617],[52.84018325805664]
2293,[53.61459732055664],[51.37653732299805],[55.020164489746094],[54.876277923583984],[51.04933547973633],[52.94588088989258]
2294,[52.50870895385742],[51.304168701171875],[55.020164489746094],[54.876277923583984],[51.1154670715332],[52.94588088989258]
2295,[51.4614372253418],[51.18307876586914],[53.87783432006836],[53.70301055908203],[51.19765090942383],[51.68769454956055]
2296,[47.99678039550781],[49.98896408081055],[53.901451110839844],[53.75098419189453],[50.02223205566406],[50.5197868347168]
2297,[43.46491622924805],[47.7411994934082],[53.92522430419922],[53.82207489013672],[48.8772087097168],[51.95724868774414]
2298,[44.37835693359375],[49.06052017211914],[52.89655685424805],[52.73469543457031],[50.179351806640625],[50.79275131225586]
2299,[47.03175735473633],[50.306087493896484],[54.067745208740234],[53.96080780029297],[51.413089752197266],[52.15834426879883]
2300,[48.114017486572266],[51.41652297973633],[54.06475830078125],[53.98181915283203],[51.416107177734375],[52.04349136352539]
2301,[47.982486724853516],[52.399070739746094],[54.15020751953125],[53.994911193847656],[51.278934478759766],[52.07210159301758]
2302,[48.983524322509766],[52.28760528564453],[52.89656066894531],[52.73469543457031],[51.197654724121094],[53.20954132080078]
2303,[50.00835418701172],[52.16414260864258],[52.92097854614258],[52.784725189208984],[51.197654724121094],[51.87869644165039]
2304,[47.58555603027344],[50.968048095703125],[52.94477081298828],[52.85489273071289],[45.063045501708984],[51.88948440551758]
2305,[47.65388107299805],[51.00581741333008],[53.05720520019531],[52.939083099365234],[46.71537399291992],[51.862361907958984]
2306,[47.72990798950195],[51.070518493652344],[53.05720520019531],[52.939083099365234],[48.19131088256836],[51.96721267700195]
2307,[46.62506103515625],[51.127925872802734],[53.05720520019531],[52.939083099365234],[48.49979019165039],[51.96721267700195]
2308,[46.720481872558594],[51.127925872802734],[53.05720520019531],[52.939083099365234],[47.17787170410156],[51.96721267700195]
2309,[46.7757453918457],[51.127925872802734],[53.05720520019531],[52.939083099365234],[49.44400405883789],[50.71076965332031]
2310,[47.96427536010742],[51.127925872802734],[53.05720520019531],[52.939083099365234],[51.63124465942383],[50.806724548339844]
2311,[50.11347198486328],[51.127925872802734],[53.05720520019531],[52.939083099365234],[51.61968231201172],[50.88456726074219]
2312,[51.090965270996094],[51.127925872802734],[51.914669036865234],[51.76701736450195],[52.478939056396484],[49.733787536621094]
2313,[49.81552505493164],[51.127925872802734],[51.94004821777344],[51.81916046142578],[52.31222152709961],[51.07889175415039]
2314,[48.5576171875],[52.24922561645508],[51.96387481689453],[51.888511657714844],[52.25456237792969],[52.29604721069336]
2315,[48.66685104370117],[52.23405456542969],[52.07516098022461],[51.97188949584961],[52.17426681518555],[52.25044250488281]
2316,[48.758426666259766],[52.16414260864258],[52.07516098022461],[51.97188949584961],[52.17426681518555],[50.819271087646484]
2317,[49.936336517333984],[52.10765075683594],[52.07516098022461],[51.97188949584961],[52.17426681518555],[50.806724548339844]
2318,[48.72098922729492],[52.10765075683594],[52.07516098022461],[51.97188949584961],[51.00107955932617],[52.12934494018555]
2319,[48.74477005004883],[52.10765075683594],[52.07516098022461],[51.97188949584961],[51.04933547973633],[52.14714431762695]
2320,[48.758426666259766],[52.10765075683594],[52.07516098022461],[51.97188949584961],[51.1154670715332],[50.819271087646484]
2321,[48.79730987548828],[52.10765075683594],[52.07516098022461],[50.799922943115234],[51.19765090942383],[50.806724548339844]
2322,[48.79730987548828],[52.10765075683594],[52.07516098022461],[50.85417938232422],[51.19765090942383],[48.35904312133789]
2323,[47.6208381652832],[50.968048095703125],[50.932098388671875],[49.755165100097656],[51.19765090942383],[51.17195129394531]
2324,[48.87202072143555],[51.00581741333008],[50.95860290527344],[48.721275329589844],[48.81522750854492],[48.639644622802734]
2325,[48.84632873535156],[49.927303314208984],[49.8414192199707],[48.84716796875],[48.936012268066406],[48.87947463989258]
2326,[48.83823776245117],[48.88728332519531],[49.97657775878906],[48.992889404296875],[50.23813247680664],[48.827083587646484]
2327,[48.79730987548828],[47.854034423828125],[51.15001678466797],[47.900691986083984],[51.48470687866211],[47.77985382080078]
2328,[47.6208381652832],[49.161983489990234],[51.22815704345703],[46.78974914550781],[51.416107177734375],[51.548824310302734]
2329,[47.71207809448242],[48.09807586669922],[51.2006721496582],[44.58039093017578],[51.278934478759766],[48.944026947021484]
2330,[46.57868576049805],[48.1325798034668],[48.81440734863281],[43.66277313232422],[48.81522750854492],[46.45429611206055]
2331,[45.52151870727539],[49.268394470214844],[51.16271209716797],[43.94108581542969],[51.26205825805664],[50.260826110839844]
2332,[44.48396682739258],[48.158512115478516],[51.14435958862305],[42.985008239746094],[48.97294235229492],[51.53171157836914]
2333,[43.49113845825195],[48.1325798034668],[51.305442810058594],[41.945438385009766],[47.91062545776367],[51.47280502319336]
2334,[42.499122619628906],[49.26839065551758],[48.81440353393555],[42.082008361816406],[47.944129943847656],[48.578330993652344]
2335,[42.726505279541016],[49.289669036865234],[48.86583709716797],[41.040130615234375],[46.99662780761719],[46.12977981567383]
2336,[42.820377349853516],[49.22349166870117],[48.908626556396484],[42.39680099487305],[48.3112678527832],[46.52035903930664]
2337,[42.8594856262207],[49.170597076416016],[49.126068115234375],[41.18949508666992],[48.33451843261719],[45.61686325073242]
2338,[42.8594856262207],[49.170597076416016],[49.126068115234375],[41.27661895751953],[48.35525131225586],[47.1654052734375]
2339,[42.8594856262207],[48.03147506713867],[47.97954177856445],[41.257877349853516],[48.27094650268555],[45.9061279296875]
2340,[42.8594856262207],[49.210750579833984],[49.16094970703125],[42.54450607299805],[49.41960144042969],[47.26064682006836]
2341,[42.8594856262207],[49.23611068725586],[51.445594787597656],[42.46355438232422],[51.59754943847656],[45.9061279296875]
2342,[42.8594856262207],[49.22349166870117],[51.463165283203125],[42.39707946777344],[51.54487228393555],[44.769813537597656]
2343,[42.8594856262207],[50.29126739501953],[51.305442810058594],[43.51091384887695],[51.35934829711914],[46.09352111816406]
2344,[44.02951431274414],[50.27020263671875],[51.09267044067383],[43.43247604370117],[51.19765090942383],[47.38994598388672]
2345,[43.94284439086914],[50.20283889770508],[51.09267044067383],[44.560909271240234],[51.19765090942383],[48.55404281616211]
2346,[45.04800796508789],[49.01011657714844],[51.09267044067383],[44.400062561035156],[51.19765090942383],[47.09497833251953]
2347,[44.93038558959961],[47.91157913208008],[51.09267044067383],[44.33242416381836],[51.19765090942383],[48.239437103271484]
2348,[44.8781852722168],[46.8794059753418],[49.94877624511719],[45.439815521240234],[50.02223205566406],[46.88319778442383]
2349,[44.83601379394531],[48.189697265625],[48.83684158325195],[45.36665344238281],[48.8772087097168],[49.45545196533203]
2350,[44.83601379394531],[48.257266998291016],[50.03463363647461],[47.68082046508789],[50.179351806640625],[50.48831558227539]
2351,[44.83601379394531],[47.11081314086914],[48.98870849609375],[47.45690155029297],[49.115596771240234],[47.90952682495117]
2352,[44.83601379394531],[45.96053695678711],[49.0999641418457],[48.50114440917969],[49.18003463745117],[46.53478240966797]
2353,[44.83601379394531],[46.07960891723633],[50.16831970214844],[48.264015197753906],[50.31489562988281],[49.18642044067383]
2354,[43.64219284057617],[45.04054641723633],[49.0974006652832],[49.37814712524414],[48.00969314575195],[49.27848434448242]
2355,[43.7509880065918],[46.29460144042969],[51.394859313964844],[49.23005294799805],[51.46077346801758],[46.735721588134766]
2356,[43.80812072753906],[45.1594123840332],[51.25532913208008],[49.158531188964844],[51.44455337524414],[45.45526885986328]
2357,[42.649166107177734],[42.90693283081055],[50.16184616088867],[49.074729919433594],[50.28691101074219],[45.722721099853516]
2358,[42.762733459472656],[44.22233581542969],[51.12455749511719],[47.900691986083984],[51.232364654541016],[45.99762725830078]
2359,[42.820377349853516],[44.29713821411133],[49.972747802734375],[47.96134948730469],[50.09345626831055],[46.097835540771484]
2360,[42.8594856262207],[44.3408317565918],[50.08356475830078],[48.02829360961914],[50.1564826965332],[44.84981918334961]
2361,[42.8594856262207],[44.29061508178711],[48.85805130004883],[48.109947204589844],[48.953792572021484],[43.68992233276367]
2362,[42.8594856262207],[44.29061508178711],[48.99392318725586],[46.934356689453125],[49.09455490112305],[45.11772155761719]
2363,[44.02951431274414],[41.9798698425293],[50.16831970214844],[46.99705505371094],[50.31489562988281],[42.69580841064453]
2364,[43.94284439086914],[43.30076217651367],[49.0974006652832],[47.063621520996094],[49.20351791381836],[42.924072265625]
2365,[43.88969039916992],[43.32243728637695],[51.394859313964844],[47.145267486572266],[51.451534271240234],[42.97170639038086]
2366,[45.01218795776367],[43.367149353027344],[51.25532913208008],[47.145267486572266],[51.39287567138672],[43.167640686035156]
2367,[43.749874114990234],[43.31693649291992],[51.305442810058594],[48.32891082763672],[51.35934829711914],[44.391117095947266]
2368,[43.790889739990234],[43.31693649291992],[51.09267044067383],[47.08555221557617],[51.19765090942383],[44.31364822387695]
2369,[43.80812072753906],[44.44981384277344],[51.09267044067383],[47.07731628417969],[51.19765090942383],[43.00204849243164]
2370,[43.847469329833984],[44.40206527709961],[52.24070739746094],[48.244781494140625],[52.33563995361328],[42.99697494506836]
2371,[41.42204666137695],[44.3408317565918],[52.211734771728516],[48.264015197753906],[52.31222152709961],[44.29969024658203]
2372,[40.45148849487305],[44.29061508178711],[52.184226989746094],[47.01464080810547],[52.25456237792969],[41.82826614379883]
2373,[39.49281692504883],[43.14143371582031],[50.932098388671875],[45.82319641113281],[51.00107955932617],[40.689292907714844]
2374,[39.76759719848633],[44.35590362548828],[50.95860290527344],[45.95368194580078],[51.04933547973633],[43.330257415771484]
2375,[41.051944732666016],[44.3502311706543],[50.98248291015625],[46.09857940673828],[51.1154670715332],[42.18252944946289]
2376,[40.98226547241211],[44.3408317565918],[51.09267044067383],[47.36597442626953],[51.19765090942383],[40.97267532348633]
2377,[42.101985931396484],[44.29061508178711],[51.09267044067383],[48.48390579223633],[51.19765090942383],[40.9523811340332]
2378,[41.968875885009766],[44.29061508178711],[51.09267044067383],[47.16938781738281],[51.19765090942383],[43.54938507080078]
2379,[43.08359909057617],[44.29061508178711],[51.09267044067383],[47.07731628417969],[51.19765090942383],[43.50236129760742]
2380,[42.9556999206543],[45.41975784301758],[51.09267044067383],[47.063621520996094],[51.19765090942383],[44.572608947753906]
2381,[41.704376220703125],[45.37754440307617],[51.09267044067383],[48.32891082763672],[51.19765090942383],[44.31364822387695]
2382,[41.775150299072266],[44.175045013427734],[51.09267044067383],[47.08555221557617],[51.19765090942383],[44.242828369140625]
2383,[41.8332405090332],[44.18667984008789],[52.24070739746094],[47.07731628417969],[52.33563995361328],[45.36880111694336]
2384,[41.87203598022461],[43.0860710144043],[52.211734771728516],[45.8905029296875],[52.31222152709961],[45.291385650634766]
2385,[40.6645622253418],[43.2145881652832],[52.184226989746094],[46.03234100341797],[52.25456237792969],[43.97835159301758]
2386,[39.56602096557617],[42.108802795410156],[50.932098388671875],[46.09857940673828],[51.00107955932617],[46.42788314819336]
2387,[39.76759719848633],[41.082420349121094],[50.95860290527344],[45.00120544433594],[51.04933547973633],[46.33974838256836]
2388,[39.86049270629883],[41.22465896606445],[50.98248291015625],[45.06689453125],[51.1154670715332],[46.29839324951172]
2389,[38.6812858581543],[41.32164764404297],[49.94877624511719],[45.13285827636719],[50.02223205566406],[46.097835540771484]
2390,[38.81564712524414],[41.37282180786133],[51.12455749511719],[45.21504211425781],[51.232364654541016],[44.84981918334961]
2391,[38.87468719482422],[40.20927810668945],[51.11858367919922],[45.21504211425781],[51.258358001708984],[43.68992233276367]
2392,[38.911766052246094],[40.30280685424805],[51.2006721496582],[45.21504211425781],[51.278934478759766],[43.87290573120117]
2393,[38.911766052246094],[41.50617218017578],[51.09267044067383],[45.21504211425781],[51.19765090942383],[44.04501724243164]
2394,[40.103763580322266],[41.48299789428711],[51.09267044067383],[45.21504211425781],[51.19765090942383],[42.89781188964844]
2395,[41.17041778564453],[41.42378234863281],[51.09267044067383],[45.21504211425781],[51.19765090942383],[42.99697494506836]
2396,[42.18946075439453],[41.37282180786133],[48.81440734863281],[45.21504211425781],[48.81522750854492],[46.67765808105469]
2397,[43.16988754272461],[42.51586151123047],[51.16271209716797],[46.403053283691406],[51.26205825805664],[46.59944534301758]
2398,[41.8152961730957],[43.581539154052734],[51.14435958862305],[46.33261489868164],[51.315555572509766],[46.39865493774414]
2399,[42.99643325805664],[43.478492736816406],[51.305442810058594],[47.451087951660156],[51.35934829711914],[46.097835540771484]
2400,[42.91401290893555],[43.367149353027344],[51.09267044067383],[47.29829406738281],[51.19765090942383],[46.097835540771484]
2401,[44.065582275390625],[43.31693649291992],[52.24070739746094],[47.22850036621094],[52.33563995361328],[46.097835540771484]
2402,[43.94284439086914],[43.31693649291992],[52.211734771728516],[48.32891082763672],[52.31222152709961],[46.097835540771484]
2403,[46.170005798339844],[44.44981384277344],[52.184226989746094],[48.264015197753906],[52.25456237792969],[46.097835540771484]
2404,[46.009403228759766],[45.51899337768555],[52.07516098022461],[50.56679153442383],[52.17426681518555],[47.326194763183594]
